observed_at,vessel_id,name,imo,mmsi,flag,vessel_type,deadweight,latitude,longitude,speed_knots,cog_degrees,draught_meters,nav_status,destination,position_source,zone,date_utc,hour_utc,is_destination_missing,is_speed_missing,is_draught_missing
2026-03-27T07:40:58Z,,UMM AL ZUBAR LNG,9977311.0,636024888.0,Liberia,Tanker,80000.0,34.90920333333333,128.59912833333334,,,,,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:10Z,,UMM AL ZUBAR LNG,9977311.0,636024888.0,Liberia,Tanker,80000.0,34.90920333333333,128.59912833333334,,,,,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T07:41:22Z,,UMM AL ZUBAR LNG,9977311.0,636024888.0,Liberia,Tanker,80000.0,34.90920333333333,128.59912833333334,,,,,,TankerMap AIS1,,2026-03-27,7,True,True,True
2026-03-27T06:43:13Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.56575,66.29023,,,,,,TankerMap AIS,,2026-03-27,6,True,True,True
2026-03-27T06:46:30Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.56575,66.29023,,,,,,TankerMap AIS,,2026-03-27,6,True,True,True
2026-03-27T07:39:36Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:39:48Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:39:59Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:11Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
2026-03-27T07:40:23Z,,AL SAKHAMAH LNG,9986051.0,636024977.0,Liberia,Tanker,94326.0,24.55913,66.34755,,,,,,TankerMap AIS,,2026-03-27,7,True,True,True
