vessel_a_mmsi,vessel_b_mmsi,vessel_a_name,vessel_b_name,zone,overlap_start,overlap_end,overlap_seconds,overlap_hours,avg_distance_nm,min_distance_nm,vessel_a_avg_speed,vessel_b_avg_speed,vessel_a_draught_change,vessel_b_draught_change,sts_score
232006298.0,563177800.0,BRITISH CONTRIBUTOR LNG,SERI DAMAI LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.743831449088454,2.7420683312419567,,,,,0.6854759001254827
477945600.0,538010102.0,HUASHAN LNG,FLEX ENDEAVOUR LNG,suez_canal,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,30.043430347118246,2.80947346866951,,,,,0.6814315918798294
636023905.0,654311424.0,KLNGTP OCEANIA LNG,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,2.9487261693164517,2.9487261693164526,,,,,0.6730764298410128
310772000.0,563162500.0,GASLOG HOUSTON LNG,BW ENN SNOW LOTUS LNG,gibraltar,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.577428386847014,2.9989912054052743,,,,,0.6700605276756835
538007985.0,636023905.0,SINGAPORE ENERGY LNG,KLNGTP OCEANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,3.167455730674053,3.167455730674053,,,,,0.6599526561595568
563177800.0,311000185.0,SERI DAMAI LNG,ASIA ENDEAVOUR LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,3.4436766350361814,3.2955216328772297,,,,,0.6522687020273662
232006298.0,310779000.0,BRITISH CONTRIBUTOR LNG,GASLOG GLADSTONE LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,3.3033117017074,3.3031080885520745,,,,,0.6518135146868755
538008396.0,311001874.0,HONGKONG ENERGY LNG,SEAPEAK HISPANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,3.806715458828688,3.680128969688121,,,,,0.6291922618187127
538008352.0,538008396.0,MERCHANT LNG,HONGKONG ENERGY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,3.808815329958613,3.682970805407562,,,,,0.6290217516755463
563177800.0,538011214.0,SERI DAMAI LNG,FUJI LNG LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,3.7950554503070264,3.7933519408430034,,,,,0.6223988835494199
563177800.0,563216800.0,SERI DAMAI LNG,HOEGH GANDRIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,3.7951296105930123,3.7935833005353334,,,,,0.62238500196788
620800330.0,654311424.0,TEAK LNG,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,3.9074218147896835,3.907421814789682,,,,,0.6155546911126191
538007985.0,620800330.0,SINGAPORE ENERGY LNG,TEAK LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,3.98195716041887,3.9819571604188693,,,,,0.6110825703748679
563216800.0,241352000.0,HOEGH GANDRIA LNG,MARAN GAS TROY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.0161428578050815,4.015095639291011,,,,,0.6090942616425393
538011214.0,241352000.0,FUJI LNG LNG,MARAN GAS TROY LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.016481942075699,4.016086700554006,,,,,0.6090347979667596
563216800.0,525701066.0,HOEGH GANDRIA LNG,LADY EVA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,3489.103193,0.9691953313888889,4.094860148305625,4.0942013505331225,,,,,0.6043479189680127
