mmsi,imo,name,zone,entry_datetime,exit_datetime,status,duration_seconds,duration_hours,avg_speed_knots,observations_count,draught_change_meters,zone_duration_median_hours,zone_avg_speed_median_knots,duration_vs_zone_median,is_low_speed,is_long_duration,loitering_score
563216800.0,9624914.0,HOEGH GANDRIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
563239700.0,9958315.0,NORTH OCEAN LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
563574000.0,9253222.0,SHANDONG JUNIPER LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
620800330.0,9259276.0,TEAK LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
636023905.0,8608884.0,KLNGTP OCEANIA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
636025820.0,9030826.0,NILA LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
654311424.0,9343106.0,LNGT KARADENIZ LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T07:41:22Z,active,3489.103193,0.9691953313888889,,12,0.0,0.9691953313888889,,1.0,True,False,0.43999999999999995
431048000.0,9758832.0,ENERGY INNOVATOR LNG,gibraltar,2026-03-27T07:39:36Z,2026-03-27T07:41:22Z,active,106.012925,0.02944803472222222,,10,0.0,0.9691953313888889,,0.03038400389323194,True,False,0.425
538002921.0,9337731.0,TEMBEK LNG,strait_of_malacca,2026-03-27T07:39:36Z,2026-03-27T07:41:22Z,active,106.012925,0.02944803472222222,,10,0.0,0.9691953313888889,,0.03038400389323194,True,False,0.425
372307000.0,9403645.0,TAITAR NO.2 LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T06:46:30Z,completed,196.44507,0.054568074999999994,,2,0.0,0.9691953313888889,,0.05630245341958276,True,False,0.365
538008876.0,9881201.0,ENERGY INTELLIGENCE LNG,strait_of_malacca,2026-03-27T06:43:13Z,2026-03-27T06:46:30Z,completed,196.44507,0.054568074999999994,,2,0.0,0.9691953313888889,,0.05630245341958276,True,False,0.365
